source_serial_number,source_node_id,source_node_port,target_node_port,target_node_id,target_serial_number,cable_number
,XE9680_23,6,23,QM9770-L_6,,182
,XE9680_23,7,23,QM9770-L_7,,183
,XE9680_23,8,23,QM9770-L_8,,184
,XE9680_24,1,24,QM9770-L_1,,185
,XE9680_24,2,24,QM9770-L_2,,186
,XE9680_24,3,24,QM9770-L_3,,187
,XE9680_24,4,24,QM9770-L_4,,188
,XE9680_24,5,24,QM9770-L_5,,189
,XE9680_24,6,24,QM9770-L_6,,190
,XE9680_24,7,24,QM9770-L_7,,191
,XE9680_24,8,24,QM9770-L_8,,192
,XE9680_25,1,25,QM9770-L_1,,193
,XE9680_25,2,25,QM9770-L_2,,194
,XE9680_25,3,25,QM9770-L_3,,195
,XE9680_25,4,25,QM9770-L_4,,196
,XE9680_25,5,25,QM9770-L_5,,197
,XE9680_25,6,25,QM9770-L_6,,198
,XE9680_25,7,25,QM9770-L_7,,199
,XE9680_25,8,25,QM9770-L_8,,200
,XE9680_26,1,26,QM9770-L_1,,201
,XE9680_26,2,26,QM9770-L_2,,202
,XE9680_26,3,26,QM9770-L_3,,203
,XE9680_26,4,26,QM9770-L_4,,204
,XE9680_26,5,26,QM9770-L_5,,205
,XE9680_26,6,26,QM9770-L_6,,206
,XE9680_26,7,26,QM9770-L_7,,207
,XE9680_26,8,26,QM9770-L_8,,208
,XE9680_27,1,27,QM9770-L_1,,209
,XE9680_27,2,27,QM9770-L_2,,210
,XE9680_27,3,27,QM9770-L_3,,211
,XE9680_27,4,27,QM9770-L_4,,212
,XE9680_27,5,27,QM9770-L_5,,213
,XE9680_27,6,27,QM9770-L_6,,214
,XE9680_27,7,27,QM9770-L_7,,215
,XE9680_27,8,27,QM9770-L_8,,216
,XE9680_28,1,28,QM9770-L_1,,217
,XE9680_28,2,28,QM9770-L_2,,218
,XE9680_28,3,28,QM9770-L_3,,219
,XE9680_28,4,28,QM9770-L_4,,220
,XE9680_28,5,28,QM9770-L_5,,221
,XE9680_28,6,28,QM9770-L_6,,222
,XE9680_28,7,28,QM9770-L_7,,223
,XE9680_28,8,28,QM9770-L_8,,224
,XE9680_29,1,29,QM9770-L_1,,225
,XE9680_29,2,29,QM9770-L_2,,226
,XE9680_29,3,29,QM9770-L_3,,227
,XE9680_29,4,29,QM9770-L_4,,228
,XE9680_29,5,29,QM9770-L_5,,229
,XE9680_29,6,29,QM9770-L_6,,230
,XE9680_29,7,29,QM9770-L_7,,231
,XE9680_29,8,29,QM9770-L_8,,232
,XE9680_30,1,30,QM9770-L_1,,233
,XE9680_30,2,30,QM9770-L_2,,234
,XE9680_30,3,30,QM9770-L_3,,235
,XE9680_30,4,30,QM9770-L_4,,236
,XE9680_30,5,30,QM9770-L_5,,237
,XE9680_30,6,30,QM9770-L_6,,238
,XE9680_30,7,30,QM9770-L_7,,239
,XE9680_30,8,30,QM9770-L_8,,240
,XE9680_31,1,31,QM9770-L_1,,241
,XE9680_31,2,31,QM9770-L_2,,242
,XE9680_31,3,31,QM9770-L_3,,243
,XE9680_31,4,31,QM9770-L_4,,244
,XE9680_31,5,31,QM9770-L_5,,245
,XE9680_31,6,31,QM9770-L_6,,246
,XE9680_31,7,31,QM9770-L_7,,247
,XE9680_31,8,31,QM9770-L_8,,248
,XE9680_32,1,32,QM9770-L_1,,249
,XE9680_32,2,32,QM9770-L_2,,250
,XE9680_32,3,32,QM9770-L_3,,251
,XE9680_32,4,32,QM9770-L_4,,252
,XE9680_32,5,32,QM9770-L_5,,253
,XE9680_32,6,32,QM9770-L_6,,254
,XE9680_32,7,32,QM9770-L_7,,255
,XE9680_32,8,32,QM9770-L_8,,256
,QM9770-L_1,33,1,QM9770-S_1,,257
,QM9770-L_1,34,2,QM9770-S_1,,258
,QM9770-L_1,35,3,QM9770-S_1,,259
